Quality,Rep,EF,Interval

0,0,2.0920000076293945,0
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
0,0,2.0920000076293945,0
5,6,3.0567994117736816,27
4,2,1.4567999839782715,2
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.1703999042510986,1
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
0,0,2.0920000076293945,0
5,3,3.4775986671447754,2
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.1703999042510986,1
4,2,2.656799793243408,2
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
0,0,2.0920000076293945,0
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
0,0,2.0920000076293945,0
0,0,1.684000015258789,0
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
0,0,2.1703999042510986,0
4,1,2.2487998008728027,1
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.2487998008728027,2
4,2,2.656799793243408,2
4,1,2.1703999042510986,1
4,2,2.2487998008728027,2
0,0,1.684000015258789,0
4,1,2.1703999042510986,1
4,1,2.1703999042510986,1
0,0,1.684000015258789,0
0,0,1.684000015258789,0
0,0,1.2999999523162842,0
4,1,1.7624000310897827,1
4,1,1.7624000310897827,1
4,1,1.7624000310897827,1
4,1,1.3783999681472778,1
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
0,0,2.1703999042510986,0
0,0,1.7623999118804932,0
0,0,1.3543999195098877,0
0,0,1.2999999523162842,0
0,0,1.2999999523162842,0
4,1,1.3783999681472778,1
4,2,2.656799793243408,2
0,0,2.1703999042510986,0
0,0,1.7623999118804932,0
4,1,1.8407999277114868,1
4,2,2.656799793243408,2
0,0,2.1703999042510986,0
4,1,2.2487998008728027,1
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
0,0,1.684000015258789,0
0,0,2.0920000076293945,0
0,0,2.0920000076293945,0
0,0,2.0920000076293945,0
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,2,2.656799793243408,2
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,1,2.578399896621704,1
4,2,2.5007994174957275,2
