UID,CID,Quality,Rep,EF,Interval

34,2,0,0,2.0920000076293945,0
34,3,4,1,2.578399896621704,1
34,4,0,0,2.0920000076293945,0
34,5,0,0,2.0920000076293945,0
6,24,5,6,3.0567994117736816,27
6,18,4,2,1.4567999839782715,2
6,2,4,1,2.578399896621704,1
6,3,4,1,2.578399896621704,1
6,4,4,1,2.578399896621704,1
6,5,0,0,2.0920000076293945,0
6,6,4,1,2.578399896621704,1
6,7,4,1,2.578399896621704,1
6,8,4,1,2.578399896621704,1
6,9,4,1,2.578399896621704,1
6,10,4,1,2.578399896621704,1
6,11,4,1,2.578399896621704,1
6,12,4,1,2.578399896621704,1
6,13,4,1,2.578399896621704,1
6,14,4,1,2.578399896621704,1
6,16,4,1,2.578399896621704,1
6,17,4,1,2.578399896621704,1
6,18,4,1,2.578399896621704,1
6,19,4,1,2.578399896621704,1
6,15,4,1,2.578399896621704,1
6,20,4,1,2.578399896621704,1
6,21,4,1,2.578399896621704,1
6,22,4,1,2.578399896621704,1
6,5,4,1,2.1703999042510986,1
6,23,4,1,2.578399896621704,1
34,9,0,0,2.0920000076293945,0
34,11,0,0,2.0920000076293945,0
6,14,5,3,3.4775986671447754,2
6,34,4,1,2.578399896621704,1
3,2,4,1,2.578399896621704,1
3,3,4,1,2.578399896621704,1
3,4,0,0,2.0920000076293945,0
3,5,4,1,2.578399896621704,1
3,6,4,1,2.578399896621704,1
6,41,4,1,2.578399896621704,1
6,51,4,1,2.578399896621704,1
6,42,4,1,2.578399896621704,1
6,36,4,1,2.578399896621704,1
3,7,4,1,2.578399896621704,1
6,47,4,1,2.578399896621704,1
6,43,4,1,2.578399896621704,1
6,37,4,1,2.578399896621704,1
6,52,0,0,2.0920000076293945,0
6,35,4,1,2.578399896621704,1
3,8,4,1,2.578399896621704,1
6,44,4,1,2.578399896621704,1
6,38,4,1,2.578399896621704,1
6,48,4,1,2.578399896621704,1
6,39,4,1,2.578399896621704,1
3,9,4,1,2.578399896621704,1
6,45,4,1,2.578399896621704,1
6,40,4,1,2.578399896621704,1
6,49,4,1,2.578399896621704,1
6,46,4,1,2.578399896621704,1
6,53,4,1,2.578399896621704,1
6,50,4,1,2.578399896621704,1
6,52,4,1,2.1703999042510986,1
6,34,4,2,2.656799793243408,2
3,10,0,0,2.0920000076293945,0
3,11,4,1,2.578399896621704,1
3,12,0,0,2.0920000076293945,0
6,41,4,2,2.656799793243408,2
6,51,4,2,2.656799793243408,2
6,42,4,2,2.656799793243408,2
6,36,4,2,2.656799793243408,2
3,13,0,0,2.0920000076293945,0
3,14,0,0,2.0920000076293945,0
3,16,4,1,2.578399896621704,1
3,17,4,1,2.578399896621704,1
3,18,0,0,2.0920000076293945,0
3,19,4,1,2.578399896621704,1
3,15,4,1,2.578399896621704,1
3,20,4,1,2.578399896621704,1
3,21,4,1,2.578399896621704,1
3,22,4,1,2.578399896621704,1
3,23,0,0,2.0920000076293945,0
3,4,0,0,1.684000015258789,0
6,2,4,2,2.656799793243408,2
6,3,4,2,2.656799793243408,2
6,4,4,2,2.656799793243408,2
6,6,4,2,2.656799793243408,2
6,7,0,0,2.1703999042510986,0
6,7,4,1,2.2487998008728027,1
6,8,4,2,2.656799793243408,2
6,9,4,2,2.656799793243408,2
6,10,4,2,2.656799793243408,2
6,11,4,2,2.656799793243408,2
6,12,4,2,2.656799793243408,2
6,13,4,2,2.656799793243408,2
6,14,4,2,2.656799793243408,2
6,16,4,2,2.656799793243408,2
6,17,4,2,2.656799793243408,2
6,18,4,2,2.656799793243408,2
6,19,4,2,2.656799793243408,2
6,15,4,2,2.656799793243408,2
6,20,4,2,2.656799793243408,2
6,21,4,2,2.656799793243408,2
6,22,4,2,2.656799793243408,2
6,5,4,2,2.2487998008728027,2
6,23,4,2,2.656799793243408,2
3,10,4,1,2.1703999042510986,1
3,10,4,2,2.2487998008728027,2
3,12,0,0,1.684000015258789,0
3,13,4,1,2.1703999042510986,1
3,14,4,1,2.1703999042510986,1
3,18,0,0,1.684000015258789,0
3,23,0,0,1.684000015258789,0
3,4,0,0,1.2999999523162842,0
3,12,4,1,1.7624000310897827,1
3,18,4,1,1.7624000310897827,1
3,23,4,1,1.7624000310897827,1
3,4,4,1,1.3783999681472778,1
3,2,4,2,2.656799793243408,2
3,3,4,2,2.656799793243408,2
3,5,4,2,2.656799793243408,2
3,6,4,2,2.656799793243408,2
3,7,4,2,2.656799793243408,2
3,8,0,0,2.1703999042510986,0
3,8,0,0,1.7623999118804932,0
3,8,0,0,1.3543999195098877,0
3,8,0,0,1.2999999523162842,0
3,8,0,0,1.2999999523162842,0
3,8,4,1,1.3783999681472778,1
3,9,4,2,2.656799793243408,2
3,11,0,0,2.1703999042510986,0
3,11,0,0,1.7623999118804932,0
3,11,4,1,1.8407999277114868,1
3,16,4,2,2.656799793243408,2
3,17,0,0,2.1703999042510986,0
3,17,4,1,2.2487998008728027,1
3,19,4,2,2.656799793243408,2
3,15,4,2,2.656799793243408,2
3,20,4,2,2.656799793243408,2
3,21,4,2,2.656799793243408,2
3,22,4,2,2.656799793243408,2
34,5,0,0,1.684000015258789,0
34,6,0,0,2.0920000076293945,0
